# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
Q8RY11	APP2	MEM	-0.5300	0.02812	SOL log2fc=-0.320 adj_p=0.136
Q8RY94	At4g18440	SOL	-0.8500	0.01693	MEM log2fc=-0.380 adj_p=0.174
Q8S3U9	SEC5A	MEM	-0.1800	0.3393	SOL log2fc=-0.580 adj_p=0.373
Q8S4Y1	AAT1	MEM	0.9300	0.007286	SOL log2fc=0.260 adj_p=0.211
Q8S528	ALDH2B7	SOL	0.3400	0.01629	MEM log2fc=-0.020 adj_p=0.567
Q8S8F8	GEM	MEM	0.2800	0.07246	SOL log2fc=0.030 adj_p=0.734
Q8S8R1	At2g23120	SOL	1.6600	0.08335	MEM log2fc=0.040 adj_p=0.572
Q8S944	DRP3A	MEM	-0.5100	0.02774	SOL log2fc=-0.550 adj_p=0.21
Q8S9J2	At2g33840	SOL	-0.1500	0.1931	MEM log2fc=-0.160 adj_p=0.194
Q8S9K8	MES10	MEM	0.2100	0.1415	SOL log2fc=-0.420 adj_p=0.272
Q8S9L5	TIG	SOL	-0.2300	0.04141	MEM log2fc=0.000 adj_p=0.542
Q8VX13	PDIL1-3	MEM	0.6800	0.006037	SOL log2fc=0.140 adj_p=0.0885
Q8VXX4	RFC3	MEM	-0.2300	0.1258	SOL log2fc=-0.040 adj_p=0.288
Q8VXY0	At2g36145	MEM	-0.7200	0.01028	SOL log2fc=0.110 adj_p=0.161
Q8VXY9	UAH	MEM	-0.1600	0.01383	SOL log2fc=0.100 adj_p=0.419
Q8VXZ7	AGAL3	MEM	0.6100	0.1246	SOL log2fc=1.070 adj_p=0.204
Q8VY01	SCPL46	SOL	-0.2700	0.02447	MEM log2fc=-0.710 adj_p=0.059
Q8VY70	At1g62780	SOL	-0.4600	0.03963	MEM log2fc=-0.070 adj_p=0.945
Q8VY84	UMK1	SOL	-0.2400	0.2555	MEM log2fc=0.020 adj_p=0.698
Q8VYB7	RGTA1	MEM	-0.1900	0.1385	SOL log2fc=-0.340 adj_p=0.194
Q8VYC9	At1g16210	MEM	0.3500	0.1787	SOL log2fc=0.220 adj_p=0.214
Q8VYF2	At4g15790	MEM	0.2900	0.0139	SOL log2fc=-0.070 adj_p=0.341
Q8VYG9	PIRL9	MEM	1.3700	0.00517	SOL log2fc=0.130 adj_p=0.277
Q8VYI4	At1g14810	SOL	0.3600	0.08385	MEM log2fc=0.150 adj_p=0.382
Q8VYK6	RPS4D	MEM	-0.3600	0.00972	SOL log2fc=0.590 adj_p=0.192
Q8VYL1	At5g35170	SOL	-0.6000	0.1662	MEM log2fc=-0.130 adj_p=0.304
Q8VYM4	PSRP2	MEM	0.3200	0.3522	SOL log2fc=0.120 adj_p=0.608
Q8VYN2	PVA42	MEM	-0.3400	0.07414	SOL log2fc=0.110 adj_p=0.273
Q8VYR5	At4g35850	MEM	0.0600	0.2426	SOL log2fc=-0.090 adj_p=0.321
Q8VYV0	At1g43690	SOL	-0.5700	0.0236	MEM log2fc=0.120 adj_p=0.278
Q8VYV7	DHQS	MEM	0.2100	0.1111	SOL log2fc=-0.240 adj_p=0.111
Q8VZ10	SOQ1	MEM	-0.6700	0.02274	SOL log2fc=-0.450 adj_p=0.068
Q8VZ23	At1g04420	MEM	-0.6500	0.1229	SOL log2fc=0.240 adj_p=0.312
Q8VZ31	TPR4	SOL	-0.7100	0.07014	MEM log2fc=-0.270 adj_p=0.128
Q8VZ49	At1g64710	MEM	-0.2400	0.07796	SOL log2fc=-0.280 adj_p=0.271
Q8VZ50	CML14	MEM	0.3100	0.1199	SOL log2fc=0.150 adj_p=0.515
Q8VZ57	At1g52510	MEM	-0.3300	0.03403	SOL log2fc=-0.210 adj_p=0.0521
Q8VZ74	At5g66470	MEM	-0.6300	0.01289	SOL log2fc=0.050 adj_p=0.63
Q8VZB1	EMB2799	MEM	0.8300	0.03723	SOL log2fc=-0.170 adj_p=0.0819
Q8VZB5	At5g14260	SOL	-0.5200	0.0782	MEM log2fc=-0.210 adj_p=0.229
Q8VZB9	RPL10AA	MEM	1.3200	0.002757	SOL log2fc=-0.280 adj_p=0.209
Q8VZC3	ALDH12A1	SOL	-0.0200	0.4272	MEM log2fc=-0.110 adj_p=0.873
Q8VZE9	UGT73B1	SOL	0.4900	0.1962	MEM log2fc=0.170 adj_p=0.203
Q8VZF1	AAE7	SOL	-0.3700	0.02112	MEM log2fc=-0.200 adj_p=0.123
Q8VZF3	GEP	MEM	-0.2300	0.1685	SOL log2fc=0.040 adj_p=0.649
Q8VZG7	TSN1	SOL	-0.3300	0.01685	MEM log2fc=0.460 adj_p=0.0206
Q8VZH2	APM1	SOL	0.0600	0.1935	MEM log2fc=0.040 adj_p=0.268
Q8VZK2	At5g11900	MEM	0.3800	0.04197	SOL log2fc=0.050 adj_p=0.624
Q8VZM1	NAA15	MEM	0.2400	0.08084	SOL log2fc=-0.350 adj_p=0.081
Q8VZT0	At3g03920	MEM	0.2400	0.02786	SOL log2fc=-0.170 adj_p=0.338
Q8VZT4	At1g29370	MEM	0.6500	0.01306	SOL log2fc=-0.280 adj_p=0.0438
Q8VZU2	SYP132	MEM	0.3200	0.086	SOL log2fc=-0.050 adj_p=0.94
Q8VZW3	CHI3	SOL	-0.0300	0.6366	MEM log2fc=0.100 adj_p=0.91
Q8VZW6	At3g08740	MEM	-0.2200	0.2929	SOL log2fc=-0.100 adj_p=0.293
Q8W033	ALDH3I1	MEM	-0.5200	0.01658	SOL log2fc=-0.190 adj_p=0.769
Q8W0Z9	CCR4-1	SOL	-0.3500	0.03457	MEM log2fc=-0.110 adj_p=0.0392
Q8W112	At5g20950	MEM	0.7500	0.03878	SOL log2fc=0.410 adj_p=0.0409
Q8W493	LFNR2	MEM	-0.5200	0.03309	SOL log2fc=0.050 adj_p=0.613
Q8W498	At4g27640	SOL	-0.2300	0.2672	MEM log2fc=-0.100 adj_p=0.57
Q8W4A0	F14P3.15	SOL	-0.3800	0.05506	MEM log2fc=0.110 adj_p=0.412
Q8W4D0	CYP71	MEM	-0.5100	0.01538	SOL log2fc=-0.450 adj_p=0.109
Q8W4D6	HCF173	MEM	-0.3800	0.0175	SOL log2fc=-0.210 adj_p=0.142
Q8W4F1	PAP10	MEM	-0.5600	0.02499	SOL log2fc=-0.060 adj_p=0.673
Q8W4F3	OVA9	SOL	-0.2900	0.09154	MEM log2fc=0.320 adj_p=0.124
Q8W4H8	GLL23	MEM	0.5500	0.02145	SOL log2fc=0.830 adj_p=0.0539
Q8W4M5	PFP-BETA1	MEM	0.2200	0.009329	SOL log2fc=0.220 adj_p=0.568
Q8W4Q4	MRF3	MEM	-0.1600	0.1304	SOL log2fc=-0.070 adj_p=0.147
Q8W585	FTSH8	MEM	-0.2800	0.1826	SOL log2fc=-0.160 adj_p=0.412
Q8W586	QQT2	SOL	0.1400	0.2587	MEM log2fc=0.020 adj_p=0.541
Q8W593	At1g67280	SOL	0.2900	0.1563	MEM log2fc=-0.020 adj_p=0.816
Q93V74	CYCLASE1	SOL	0.0900	0.2136	MEM log2fc=-0.370 adj_p=0.507
Q93V88	At4g33500	SOL	-0.3600	0.03424	MEM log2fc=-0.340 adj_p=0.0464
Q93VA8	At1g76010	SOL	-0.3100	0.179	MEM log2fc=0.190 adj_p=0.498
Q93VB0	At2g40660	MEM	0.3400	0.01982	SOL log2fc=-0.040 adj_p=0.12
Q93VC7	RPS1	MEM	-0.5400	0.01571	SOL log2fc=0.030 adj_p=0.971
Q93VG5	RPS8A	MEM	0.2200	0.02774	SOL log2fc=-0.050 adj_p=0.542
Q93VI3	RPL17A	MEM	-0.4500	0.01316	SOL log2fc=1.190 adj_p=0.144
Q93VP3	ELF5A-2	MEM	1.6700	0.007921	SOL log2fc=0.120 adj_p=0.285
Q93VQ0	VCL1	SOL	-0.5900	0.05506	MEM log2fc=-0.030 adj_p=0.606
Q93VR3	At5g28840	MEM	0.5100	0.07564	SOL log2fc=-0.050 adj_p=0.557
Q93VR4	MLP423	MEM	-0.5000	0.01741	SOL log2fc=-0.250 adj_p=0.0749
Q93VS8	emb2734	SOL	-0.3000	0.05294	MEM log2fc=0.300 adj_p=0.1
Q93VT9	RPL10A	MEM	-0.2100	0.07955	SOL log2fc=0.250 adj_p=0.388
Q93W05	At1g10590	MEM	-0.0700	0.243	SOL log2fc=-0.070 adj_p=0.373
Q93W22	RPL10C	MEM	0.2800	0.214	SOL log2fc=0.230 adj_p=0.303
Q93W28	At4g15545	MEM	1.4700	0.006895	SOL log2fc=0.040 adj_p=0.813
Q93W34	RBP45C	SOL	-0.2300	0.1731	MEM log2fc=0.110 adj_p=0.835
Q93W77	NIFU1	MEM	-0.2200	0.06775	SOL log2fc=-0.190 adj_p=0.0937
Q93WF1	At5g48900	MEM	0.6700	0.02616	SOL log2fc=-0.190 adj_p=0.235
Q93WJ8	MDAR2	MEM	0.1800	0.04928	SOL log2fc=-0.090 adj_p=0.203
Q93WL3	CLPT1	MEM	-1.3300	0.07183	SOL log2fc=0.170 adj_p=0.254
Q93WN0	SBP2	SOL	-1.0700	0.01629	MEM log2fc=-0.250 adj_p=0.0897
Q93WX6	NFS2	MEM	-0.4500	0.02641	SOL log2fc=-0.070 adj_p=0.655
Q93XN8	SPP3B	MEM	-0.4400	0.05953	SOL log2fc=0.000 adj_p=0.523
Q93XW5	NSP5	MEM	0.5500	0.0142	SOL log2fc=0.500 adj_p=0.113
Q93XY1	MNC6.16	MEM	0.4800	0.04091	SOL log2fc=-0.710 adj_p=0.0433
Q93Y12	MDB19.14	MEM	-0.4600	0.02619	SOL log2fc=-0.050 adj_p=0.907
Q93Y22	At5g05010	MEM	1.0700	0.01387	SOL log2fc=-0.230 adj_p=0.179
Q93Y35	RPN7	SOL	-0.2000	0.1297	MEM log2fc=0.040 adj_p=0.168
Q93Y40	ORP3C	MEM	-0.3600	0.02777	SOL log2fc=-0.130 adj_p=0.156
Q93YR3	At4g22670	MEM	0.3500	0.03075	SOL log2fc=0.250 adj_p=0.303
Q93YU5	SEC8	SOL	-0.7000	0.07041	MEM log2fc=0.400 adj_p=0.119
Q93YZ7	At2g31810	MEM	0.4800	0.007851	SOL log2fc=0.200 adj_p=0.152
Q93Z08	At5g58090	SOL	0.2400	0.131	MEM log2fc=0.070 adj_p=0.202
Q93Z10	At5g11580	MEM	-0.2400	0.03709	SOL log2fc=-0.370 adj_p=0.0638
Q93Z16	RPN2	MEM	0.1100	0.1721	SOL log2fc=0.040 adj_p=0.526
Q93Z30	At4g18950	SOL	-0.2800	0.04193	MEM log2fc=-0.120 adj_p=0.415
Q93Z53	PKP3	MEM	-0.3500	0.1793	SOL log2fc=-0.070 adj_p=0.273
Q93Z70	At2g19940	MEM	-0.1800	0.03756	SOL log2fc=-0.070 adj_p=0.177
Q93ZB6	HEME1	SOL	-0.2300	0.1057	MEM log2fc=0.180 adj_p=0.384
Q93ZC2	At5g36230	MEM	-0.4200	0.04501	SOL log2fc=-0.250 adj_p=0.195
Q93ZC5	AOC4	MEM	-0.6600	0.131	SOL log2fc=0.160 adj_p=0.436
Q93ZG7	RH38	MEM	0.0400	0.2698	SOL log2fc=-0.020 adj_p=0.839
Q93ZI7	MOK9.1	SOL	-0.5300	0.04535	MEM log2fc=0.440 adj_p=0.105
Q93ZK1	At3g56060	MEM	-0.4200	0.004436	SOL log2fc=-0.020 adj_p=0.841
Q93ZM7	At3g13860	SOL	-0.2000	0.01629	MEM log2fc=0.110 adj_p=0.184
Q93ZN2	At1g60710	SOL	0.4000	0.1082	MEM log2fc=0.200 adj_p=0.117
Q93ZN9	DAP	SOL	-0.0200	0.5564	MEM log2fc=-0.170 adj_p=0.928
Q93ZR3	PRP39	MEM	-0.7300	0.01742	SOL log2fc=-0.580 adj_p=0.0374
Q93ZT6	EIF(ISO)4G1	MEM	1.0400	0.005986	SOL log2fc=-0.260 adj_p=0.0477
Q93ZV7	LA1	SOL	-0.1100	0.1648	MEM log2fc=-0.040 adj_p=0.323
Q940B0	RPL18C	MEM	-0.2600	0.1007	SOL log2fc=0.180 adj_p=0.153
Q940B8	KIN13A	MEM	-0.5300	0.02911	SOL log2fc=-0.200 adj_p=0.288
Q940G5	At4g25900	MEM	-0.1400	0.2648	SOL log2fc=-0.100 adj_p=0.824
Q940I2	MED24.18	MEM	0.0100	0.8613	SOL log2fc=0.010 adj_p=0.99
Q940J8	PAE7	MEM	0.1600	0.3418	SOL log2fc=0.000 adj_p=0.872
Q940P8	CCT2	MEM	0.3800	0.0178	SOL log2fc=0.210 adj_p=0.259
Q940S9	At3g57890	SOL	-0.4100	0.146	MEM log2fc=0.100 adj_p=0.791
Q940V1	DJA5	SOL	-0.4700	0.03664	MEM log2fc=-0.180 adj_p=0.246
Q940Z5	PMAT1	MEM	0.8200	0.03075	SOL log2fc=0.670 adj_p=0.0366
Q941A4	OBAP2A	MEM	1.3100	0.008721	SOL log2fc=2.400 adj_p=0.0403
Q941B2	At1g09870	MEM	-0.1100	0.1713	SOL log2fc=0.130 adj_p=0.319
Q944A6	SNF4	MEM	-0.2700	0.03917	SOL log2fc=-0.300 adj_p=0.171
Q944A7	BSK1	MEM	0.5600	0.02763	SOL log2fc=-0.750 adj_p=0.181
Q944G9	FBA2	SOL	-0.3400	0.0234	MEM log2fc=0.180 adj_p=0.476
Q944H0	NMT2	MEM	-0.3600	0.02304	SOL log2fc=-0.860 adj_p=0.0663
Q944J2	At4g28706	SOL	-0.1900	0.04197	MEM log2fc=0.070 adj_p=0.466
Q944K3	HDA2	MEM	-0.4000	0.1225	SOL log2fc=0.040 adj_p=0.518
Q944L8	At1g11930	SOL	0.3400	0.2499	MEM log2fc=0.050 adj_p=0.84
Q944P7	LAP2	MEM	0.6600	0.05986	SOL log2fc=0.180 adj_p=0.175
Q945K7	IDH5	MEM	0.4300	0.02048	SOL log2fc=-0.150 adj_p=0.29
Q945Q1	CYS1	SOL	0.2500	0.1919	MEM log2fc=-0.030 adj_p=0.544
Q948R9	RFC3	MEM	-0.8100	0.01317	SOL log2fc=-0.060 adj_p=0.88
Q949M9	GET3A	MEM	-0.2500	0.04569	SOL log2fc=-0.220 adj_p=0.06
Q949P2	CYOP	SOL	0.0900	0.1721	MEM log2fc=-0.160 adj_p=0.239
Q949P3	At2g17340	MEM	-0.1800	0.03689	SOL log2fc=-0.550 adj_p=0.0896
Q949Q7	SCPL29	MEM	0.3600	0.04353	SOL log2fc=0.250 adj_p=0.0578
Q949U7	PRXIIE	MEM	1.0300	0.0685	SOL log2fc=0.240 adj_p=0.184
Q949W8	XK2	MEM	0.2200	0.05878	SOL log2fc=-0.020 adj_p=0.58
Q949Y3	PAP26	MEM	0.7600	0.03203	SOL log2fc=-0.020 adj_p=0.994
Q94A09	TRM9	MEM	0.0400	0.2604	SOL log2fc=0.080 adj_p=0.49
Q94A28	ACO2	SOL	-0.1000	0.1142	MEM log2fc=0.020 adj_p=0.816
Q94A40	At1g62020	SOL	-0.5300	0.05806	MEM log2fc=-0.160 adj_p=0.101
Q94A41	AMY3	SOL	-0.1900	0.04085	MEM log2fc=0.140 adj_p=0.0588
Q94A52	EIF4A3	MEM	-0.3700	0.07365	SOL log2fc=-0.030 adj_p=0.911
Q94A65	At4g27700	MEM	0.2500	0.04222	SOL log2fc=-0.400 adj_p=0.0464
Q94A68	At1g06690	MEM	-0.5000	0.0264	SOL log2fc=-0.040 adj_p=0.371
Q94A94	LYSA2	MEM	-0.3600	0.1972	SOL log2fc=0.140 adj_p=0.719
Q94A97	UBC35	MEM	0.2800	0.005245	SOL log2fc=-0.150 adj_p=0.194
Q94AH6	CUL1	SOL	-0.2400	0.2462	MEM log2fc=0.050 adj_p=0.913
Q94AH9	FIB2	MEM	0.1100	0.05971	SOL log2fc=0.210 adj_p=0.827
Q94AI7	TPL	MEM	-0.6500	0.007979	SOL log2fc=-0.900 adj_p=0.102
Q94AJ9	At1g12800	SOL	-0.3000	0.09456	MEM log2fc=0.230 adj_p=0.175
Q94AM1	OOP	SOL	-0.2400	0.2089	MEM log2fc=-0.070 adj_p=0.463
Q94AR8	IIL1	MEM	0.1200	0.0709	SOL log2fc=0.170 adj_p=0.16
Q94AT1	At5g53140	MEM	0.4800	0.03756	SOL log2fc=-0.070 adj_p=0.271
Q94AU3	At2g21385	SOL	-0.2200	0.06098	MEM log2fc=-0.460 adj_p=0.0625
Q94AX4	DLD	MEM	-0.8800	0.003684	SOL log2fc=0.140 adj_p=0.13
Q94AZ4	CML13	SOL	0.1000	0.127	MEM log2fc=0.160 adj_p=0.203
Q94B35	ISPH	SOL	-0.2500	0.01629	MEM log2fc=-0.790 adj_p=0.0475
Q94B60	CLPP4	MEM	-0.1800	0.4659	SOL log2fc=-0.040 adj_p=0.842
Q94B78	GLDP1	SOL	-0.3600	0.02442	MEM log2fc=-0.350 adj_p=0.0937
Q94BR1	MRF1	SOL	-0.4900	0.05653	MEM log2fc=0.190 adj_p=0.428
Q94BS2	MET1	SOL	-0.3500	0.01887	MEM log2fc=-0.100 adj_p=0.745
Q94BT0	SPS1	MEM	-0.8000	0.02155	SOL log2fc=-0.090 adj_p=0.103
Q94BT9	ATX1	MEM	0.7400	0.004122	SOL log2fc=0.200 adj_p=0.0438
Q94BV4	RH6	MEM	0.1100	0.09153	SOL log2fc=-0.640 adj_p=0.0932
Q94BZ0	At1g50450	MEM	-0.3200	0.1568	SOL log2fc=-0.540 adj_p=0.411
Q94C59	PATL4	MEM	0.9200	0.01511	SOL log2fc=0.140 adj_p=0.135
Q94C69	CSP3	MEM	-0.4000	0.043	SOL log2fc=-0.400 adj_p=0.163
Q94C74	SHM2	MEM	-0.4000	0.1007	SOL log2fc=0.170 adj_p=0.374
Q94CB1	PME25	MEM	0.3800	0.02258	SOL log2fc=0.310 adj_p=0.173
Q94CD8	At3g13560	MEM	1.4500	0.01664	SOL log2fc=-0.330 adj_p=0.0374
Q94CE3	BCA5	MEM	-0.0700	0.3424	SOL log2fc=0.050 adj_p=0.486
Q94CE4	BCA4	MEM	-0.2500	0.2269	SOL log2fc=-0.110 adj_p=0.318
Q94CE5	POP2	SOL	0.1200	0.6297	MEM log2fc=-0.080 adj_p=0.828
Q94CF0	EHD1	MEM	0.2900	0.05131	SOL log2fc=-0.510 adj_p=0.124
Q94CK1	At5g12410	MEM	-0.3900	0.007163	SOL log2fc=-0.150 adj_p=0.403
Q94EG6	At5g02240	SOL	0.7800	0.1149	MEM log2fc=-0.080 adj_p=0.991
Q94F00	IMPL1	SOL	-0.1700	0.1538	MEM log2fc=-0.490 adj_p=0.165
Q94F08	HIPL2	SOL	-0.3000	0.08363	MEM log2fc=0.420 adj_p=0.132
Q94F20	DGR2	SOL	-0.2400	0.5084	MEM log2fc=0.020 adj_p=0.732
Q94FY7	VTE1	MEM	0.8100	0.01115	SOL log2fc=-0.110 adj_p=0.248
Q94II5	RD2	MEM	0.6300	0.007283	SOL log2fc=0.440 adj_p=0.0582
Q94JQ3	SHM3	SOL	-0.1100	0.2044	MEM log2fc=0.040 adj_p=0.43
Q94JQ4	RIDA	MEM	-0.3100	0.5198	SOL log2fc=0.270 adj_p=0.54
Q94JV1	At1g69340	MEM	1.0800	0.009449	SOL log2fc=-0.220 adj_p=0.248
Q94JY3	MDB19.5	MEM	-0.7500	0.003642	SOL log2fc=-0.740 adj_p=0.0342
Q94K05	CCT8	MEM	0.4700	0.008851	SOL log2fc=0.060 adj_p=0.92
Q94K07	NAP1;3	MEM	0.9600	0.01263	SOL log2fc=0.050 adj_p=0.673
Q94K30	At1g01800	MEM	1.0600	0.01404	SOL log2fc=-0.240 adj_p=0.0754
Q94K48	At3g62530	MEM	0.6900	0.007385	SOL log2fc=0.020 adj_p=0.688
Q94K52	At1g02475	MEM	0.4300	0.009642	SOL log2fc=-0.390 adj_p=0.241
Q94K71	CBBY	SOL	-0.3200	0.04642	MEM log2fc=0.620 adj_p=0.058
Q94K73	At3g58140	MEM	0.2200	0.122	SOL log2fc=-0.050 adj_p=0.33
Q94K85	CATHB3	SOL	1.0600	0.1058	MEM log2fc=0.080 adj_p=0.678
Q94K97	At5g24490	MEM	-0.3900	0.4963	SOL log2fc=0.140 adj_p=0.951
Q94KE3	At3g52990	MEM	0.3300	0.057	SOL log2fc=0.030 adj_p=0.531
Q96242	CYP74A	SOL	-0.6700	0.01848	MEM log2fc=-0.920 adj_p=0.024
Q96250	ATPC	MEM	-0.2600	0.05422	SOL log2fc=-0.070 adj_p=0.188
Q96251	At5g13450	SOL	-0.3300	0.1077	MEM log2fc=0.020 adj_p=0.791
Q96252	At5g47030	MEM	0.6000	0.003642	SOL log2fc=0.040 adj_p=0.44
Q96254	GDI1	MEM	0.3600	0.08232	SOL log2fc=0.040 adj_p=0.519
Q96255	PSAT1	SOL	-0.2400	0.1144	MEM log2fc=-0.360 adj_p=0.119
Q96262	PCAP1	MEM	0.6000	0.005821	SOL log2fc=0.520 adj_p=0.0403
Q96266	GSTF8	MEM	0.3800	0.02796	SOL log2fc=0.210 adj_p=0.0433
Q96270	LEA7	SOL	1.9200	0.01629	MEM log2fc=1.140 adj_p=0.043
Q96291	BAS1	SOL	0.1600	0.1612	MEM log2fc=-0.350 adj_p=0.489
Q96292	ACT2	MEM	0.4700	0.003684	SOL log2fc=0.000 adj_p=0.501
Q96300	GRF7	MEM	0.1300	0.0929	SOL log2fc=0.050 adj_p=0.418
Q96318	CRC	MEM	0.8400	0.04473	SOL log2fc=1.740 adj_p=0.26
Q96321	IMPA1	MEM	0.7400	0.01145	SOL log2fc=0.030 adj_p=0.857
Q96327	EBP1	MEM	0.5300	0.03301	SOL log2fc=0.190 adj_p=0.328
Q96329	ACX4	MEM	0.7200	0.01633	SOL log2fc=0.260 adj_p=0.0251
Q96511	PER69	MEM	1.5800	0.003406	SOL log2fc=1.590 adj_p=0.0167
Q96518	PER16	MEM	1.9300	0.002757	SOL log2fc=0.940 adj_p=0.0277
Q96520	PER12	SOL	0.1400	0.2494	MEM log2fc=0.050 adj_p=0.568
Q96522	PER45	MEM	1.6100	0.002757	SOL log2fc=2.290 adj_p=0.0424
Q96528	CAT1	MEM	-1.0200	0.06206	SOL log2fc=0.230 adj_p=0.199
Q96529	PURA	MEM	0.4700	0.06809	SOL log2fc=0.070 adj_p=0.611
Q96533	ADH2	MEM	0.4800	0.04108	SOL log2fc=0.030 adj_p=0.75
Q9ASR1	LOS1	MEM	0.3800	0.01153	SOL log2fc=-0.110 adj_p=0.125
Q9ASS6	PNSL5	MEM	-0.5500	0.03003	SOL log2fc=0.090 adj_p=0.147
Q9AST8	ROSY1	SOL	1.8000	0.04535	MEM log2fc=0.740 adj_p=0.0505
Q9ASV6	RPS20	MEM	0.4800	0.02832	SOL log2fc=-0.020 adj_p=0.498
Q9C4Z6	RACK1B	MEM	-0.3400	0.03199	SOL log2fc=-0.070 adj_p=0.31
Q9C500	WPP2	MEM	0.5000	0.02012	SOL log2fc=0.800 adj_p=0.103
Q9C505	ELF5A-3	MEM	0.4800	0.007892	SOL log2fc=-0.020 adj_p=0.802
Q9C514	RPS7A	MEM	0.2400	0.1004	SOL log2fc=0.460 adj_p=0.127
Q9C522	ACLB-1	MEM	1.1300	0.01153	SOL log2fc=0.060 adj_p=0.777
Q9C524	At1g66430	SOL	0.2500	0.2363	MEM log2fc=0.220 adj_p=0.264
Q9C525	BGLU21	MEM	0.1700	0.009761	SOL log2fc=0.290 adj_p=0.348
Q9C535	T3M22.5	SOL	-0.4300	0.01263	MEM log2fc=-0.220 adj_p=0.214
Q9C5A9	At5g08680	SOL	0.0300	0.4183	MEM log2fc=-0.080 adj_p=0.584
Q9C5C2	TGG2	SOL	-2.9300	0.03665	MEM log2fc=-2.960 adj_p=0.0403
Q9C5C8	MSRB2	MEM	-0.2300	0.08895	SOL log2fc=0.310 adj_p=0.096
Q9C5D0	CBSX2	MEM	-0.5500	0.2165	SOL log2fc=0.320 adj_p=0.273
Q9C5E5	DGK5	SOL	-0.4600	0.1274	MEM log2fc=0.020 adj_p=0.815
Q9C5F4	At1g70570	SOL	0.4300	0.08136	MEM log2fc=-0.180 adj_p=0.449
Q9C5G6	At1g23430	SOL	0.2400	0.02648	MEM log2fc=0.170 adj_p=0.13
Q9C5I1	USP	MEM	-0.4900	0.01664	SOL log2fc=-0.190 adj_p=0.276
Q9C5R8	At5g06290	SOL	0.1100	0.1363	MEM log2fc=-0.440 adj_p=0.354
Q9C5U3	RPT6A	MEM	-0.1700	0.07149	SOL log2fc=-0.010 adj_p=0.483
Q9C5U8	HISN8	SOL	0.0000	0.6297	MEM log2fc=-0.080 adj_p=0.826
Q9C5W3	NADK2	SOL	-0.2800	0.05697	MEM log2fc=0.020 adj_p=0.945
Q9C5X3	KEU	MEM	0.3400	0.132	SOL log2fc=-0.320 adj_p=0.158
Q9C5Z2	TIF3H1	SOL	-0.2200	0.05741	MEM log2fc=-0.070 adj_p=0.137
Q9C5Z3	TIF3E1	MEM	-0.3000	0.0401	SOL log2fc=-0.300 adj_p=0.202
Q9C658	DCP5	MEM	1.0900	0.01334	SOL log2fc=0.160 adj_p=0.328
Q9C685	CHLORORESPIRATORY	SOL	-0.1400	0.3509	MEM log2fc=-0.110 adj_p=0.393
Q9C713	At1g66530	MEM	-0.3900	0.01658	SOL log2fc=-0.030 adj_p=0.334
Q9C723	At1g55090	MEM	0.1500	0.009912	SOL log2fc=-0.060 adj_p=0.519
Q9C7F5	NTF2B	MEM	1.5300	0.007283	SOL log2fc=0.070 adj_p=0.309
Q9C7F7	LTPG1	MEM	0.6300	0.01878	SOL log2fc=0.770 adj_p=0.184
Q9C7N4	At1g29670	MEM	1.0400	0.0175	SOL log2fc=-0.030 adj_p=0.523
Q9C7N5	At1g29660	SOL	0.3600	0.479	MEM log2fc=0.000 adj_p=0.981
Q9C7V7	At1g64330	MEM	-0.2600	0.08304	SOL log2fc=-0.080 adj_p=0.273
Q9C7X5	NAS4	MEM	-0.3300	0.09387	SOL log2fc=-0.570 adj_p=0.277
Q9C829	NUP50A	MEM	-1.1500	0.00366	SOL log2fc=-0.100 adj_p=0.977
Q9C865	SH3P1	SOL	-0.2400	0.08105	MEM log2fc=0.180 adj_p=0.396
Q9C891	DIR20	MEM	-0.4000	0.3143	SOL log2fc=-0.090 adj_p=0.392
Q9C8D8	At1g66070	MEM	1.1500	0.008367	SOL log2fc=0.330 adj_p=0.0805
Q9C8E6	PMI1	SOL	-0.1500	0.04026	MEM log2fc=-0.180 adj_p=0.0787
Q9C8F1	At1g36730	MEM	0.4000	0.0325	SOL log2fc=-0.500 adj_p=0.151
Q9C8G5	ERD4	MEM	0.3200	0.0304	SOL log2fc=-0.850 adj_p=0.111
Q9C8L4	GLY3	SOL	0.5400	0.06594	MEM log2fc=0.180 adj_p=0.246
Q9C8P0	EMB3003	MEM	1.6200	0.005778	SOL log2fc=0.250 adj_p=0.102
Q9C8W7	At1g71950	SOL	0.6300	0.07642	MEM log2fc=-0.400 adj_p=0.113
Q9C8X4	At1g36390	MEM	-0.2000	0.5263	SOL log2fc=0.020 adj_p=0.78
Q9C8Y9	BGLU22	SOL	-0.3400	0.09851	MEM log2fc=0.550 adj_p=0.333
Q9C909	RBG5	MEM	-0.5800	0.07176	SOL log2fc=-0.110 adj_p=0.315
Q9C952	CPSF73-I	MEM	-0.9200	0.02516	SOL log2fc=-0.270 adj_p=0.192
Q9C958	SRK2B	MEM	0.1700	0.04989	SOL log2fc=0.100 adj_p=0.408
Q9C969	ISS1	SOL	-0.3600	0.2285	MEM log2fc=0.010 adj_p=0.935
Q9C977	At1g80270	MEM	-0.3700	0.02269	SOL log2fc=-0.260 adj_p=0.158
