uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
O23647	-0.58	0.006429557	0.023947843	SBE2.1	MEM	1,4-alpha-glucan-branching enzyme 2-1, chloroplastic/amyloplastic OS=Arabidopsis thaliana OX=3702 GN=SBE2.1 PE=1 SV=1	True
O23653	-0.28	0.001416398	0.032276056	AK2	SOL	Aspartokinase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AK2 PE=1 SV=2	True
O23654	0.17	7.46722e-05	0.016285805	VHA-A	SOL	V-type proton ATPase catalytic subunit A OS=Arabidopsis thaliana OX=3702 GN=VHA-A PE=1 SV=1	True
O23657	-0.06	0.146448465	0.201353098	RABC1	MEM	Ras-related protein RABC1 OS=Arabidopsis thaliana OX=3702 GN=RABC1 PE=1 SV=1	False
O23673	-0.15	0.11313964	0.214146884	At1g02020	SOL	Nitroreductase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g02020 PE=1 SV=1	False
O23676	-0.44	0.008577345	0.027977979	MAGO	MEM	Protein mago nashi homolog OS=Arabidopsis thaliana OX=3702 GN=MAGO PE=1 SV=1	True
O23680	-0.58	0.0197557	0.044777981	TOC33	MEM	Translocase of chloroplast 33, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TOC33 PE=1 SV=1	True
O23684	-0.04	0.809926766	0.853334156	At2g41950	SOL	At2g41950/T6D20.26 OS=Arabidopsis thaliana OX=3702 GN=At2g41950 PE=1 SV=1	False
O23708	0.8	0.009972353	0.030278707	PAB1	MEM	Proteasome subunit alpha type-2-A OS=Arabidopsis thaliana OX=3702 GN=PAB1 PE=1 SV=1	True
O23710	0.2	0.219738317	0.326183666	PBB1	SOL	Proteasome subunit beta type-7-A OS=Arabidopsis thaliana OX=3702 GN=PBB1 PE=1 SV=2	False
O23712	0.04	0.378865078	0.4423107	PAF2	MEM	Proteasome subunit alpha type-1-B OS=Arabidopsis thaliana OX=3702 GN=PAF2 PE=1 SV=2	False
O23714	0.6	0.08574889	0.130047809	PBD1	MEM	Proteasome subunit beta type-2-A OS=Arabidopsis thaliana OX=3702 GN=PBD1 PE=1 SV=1	False
O23717	0.62	0.002186776	0.013387161	PBE1	MEM	Proteasome subunit beta type-5-A OS=Arabidopsis thaliana OX=3702 GN=PBE1 PE=1 SV=1	True
O23722	0.14	0.09254941	0.137817564	MVD1	MEM	Diphosphomevalonate decarboxylase MVD1, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=MVD1 PE=1 SV=1	False
O24412	-0.11	0.102606622	0.201515593	RPN8A	SOL	26S proteasome non-ATPase regulatory subunit 7 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN8A PE=1 SV=1	False
O24456	0.26	0.013050149	0.034989912	RACK1A	MEM	Receptor for activated C kinase 1A OS=Arabidopsis thaliana OX=3702 GN=RACK1A PE=1 SV=2	True
O24457	0.11	0.096788605	0.193673708	PDH-E1	SOL	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PDH-E1 ALPHA PE=2 SV=1	False
O24466	1.97	0.000143953	0.004436412	RABE1A	MEM	Ras-related protein RABE1a OS=Arabidopsis thaliana OX=3702 GN=RABE1A PE=1 SV=1	True
O24496	0.55	0.008154159	0.027199067	GLX2-2	MEM	Hydroxyacylglutathione hydrolase cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=GLX2-2 PE=1 SV=2	True
O24520	0.37	0.010278612	0.030660525	AHB1	MEM	Non-symbiotic hemoglobin 1 OS=Arabidopsis thaliana OX=3702 GN=AHB1 PE=1 SV=1	True
O24521	-0.32	0.009404669	0.060717719	AHB2	SOL	Non-symbiotic hemoglobin 2 OS=Arabidopsis thaliana OX=3702 GN=AHB2 PE=1 SV=1	False
O24603	0.87	0.156379884	0.259676455	CHI	SOL	Endochitinase CHI OS=Arabidopsis thaliana OX=3702 GN=CHI PE=2 SV=1	False
O24616	0.05	0.080489553	0.172948306	PAD2	SOL	Proteasome subunit alpha type-7-B OS=Arabidopsis thaliana OX=3702 GN=PAD2 PE=1 SV=2	False
O24633	1.14	0.000513811	0.007387925	PBD2	MEM	Proteasome subunit beta type-2-B OS=Arabidopsis thaliana OX=3702 GN=PBD2 PE=1 SV=1	True
O24653	0.24	0.00183924	0.012336509	GDI2	MEM	Guanosine nucleotide diphosphate dissociation inhibitor 2 OS=Arabidopsis thaliana OX=3702 GN=GDI2 PE=2 SV=1	True
O24658	1.1	0.057171124	0.142850916	At2g43590	SOL	Endochitinase At2g43590 OS=Arabidopsis thaliana OX=3702 GN=At2g43590 PE=2 SV=1	False
O48528	-0.14	0.256695504	0.318785423	OEP163	MEM	Outer envelope pore protein 16-3, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OEP163 PE=1 SV=1	False
O48529	-0.3	0.114999388	0.164997579	STR9	MEM	Rhodanese-like domain-containing protein 9, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=STR9 PE=2 SV=1	False
O48549	-0.43	0.068075693	0.108586924	RPS6A	MEM	40S ribosomal protein S6-1 OS=Arabidopsis thaliana OX=3702 GN=RPS6A PE=1 SV=2	False
O48587	-0.15	0.00508278	0.046260068	T19K24.16	SOL	At5g44730 OS=Arabidopsis thaliana OX=3702 GN=T19K24.16 PE=1 SV=1	True
O48588	-0.48	0.0029707	0.040259894	T19K24.17	SOL	Molybdenum cofactor sulfurase family protein OS=Arabidopsis thaliana OX=3702 GN=T19K24.17 PE=1 SV=1	True
O48593	-0.1	0.191102397	0.297399353	SYNO	SOL	Asparagine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SYNO PE=2 SV=3	False
O48626	-0.75	0.004579573	0.01957546	ZW10	MEM	Centromere/kinetochore protein zw10 homolog OS=Arabidopsis thaliana OX=3702 GN=ZW10 PE=1 SV=1	True
O48646	0.14	0.013156892	0.070561017	GPX6	SOL	Probable phospholipid hydroperoxide glutathione peroxidase 6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GPX6 PE=2 SV=2	False
O48661	0.29	0.039532364	0.118453629	SPDSYN2	SOL	Spermidine synthase 2 OS=Arabidopsis thaliana OX=3702 GN=SPDSYN2 PE=1 SV=2	False
O48671	-0.01	0.77775428	0.813011308	RER1B	MEM	Protein RER1B OS=Arabidopsis thaliana OX=3702 GN=RER1B PE=1 SV=2	False
O48676	-0.24	0.004729383	0.019909142	UGT74B1	MEM	UDP-glycosyltransferase 74B1 OS=Arabidopsis thaliana OX=3702 GN=UGT74B1 PE=1 SV=1	True
O48683	-0.48	0.030937503	0.060350541	At1g24160	MEM	F3I6.9 protein OS=Arabidopsis thaliana OX=3702 GN=At1g24160 PE=1 SV=1	False
O48723	-0.04	0.355472477	0.417888137	PLP2	MEM	Patatin-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=PLP2 PE=1 SV=1	False
O48724	0.2	0.064056601	0.103454639	WEB1	MEM	Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1 OS=Arabidopsis thaliana OX=3702 GN=WEB1 PE=1 SV=1	False
O48726	-0.2	0.03773372	0.116685794	RPN13	SOL	26S proteasome regulatory subunit RPN13 OS=Arabidopsis thaliana OX=3702 GN=RPN13 PE=1 SV=2	False
O48737	0.35	0.135518057	0.239428121	At1g03680	SOL	Thioredoxin M1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g03680 PE=1 SV=1	False
O48741	-0.58	0.00189003	0.012510003	PORC	MEM	Protochlorophyllide reductase C, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PORC PE=1 SV=1	True
O48773	-0.52	0.048249449	0.08338028	PDIL2-3	MEM	Protein disulfide-isomerase 2-3 OS=Arabidopsis thaliana OX=3702 GN=PDIL2-3 PE=2 SV=1	False
O48782	-0.57	0.062943595	0.102029449	HO1	MEM	Heme oxygenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HO1 PE=1 SV=2	False
O48788	-0.41	0.027630876	0.056173538	At2g26730	MEM	Probable inactive receptor kinase At2g26730 OS=Arabidopsis thaliana OX=3702 GN=At2g26730 PE=1 SV=1	False
O48802	-0.44	0.000677919	0.024573729	CLMP1	SOL	Protein CLMP1 OS=Arabidopsis thaliana OX=3702 GN=CLMP1 PE=1 SV=1	True
O48832	0.31	0.013721366	0.036002691	ERD7	MEM	Protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ERD7 PE=1 SV=1	True
O48844	0.22	0.018688556	0.043030909	RPN2A	MEM	26S proteasome non-ATPase regulatory subunit 1 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN2A PE=1 SV=1	True
O48917	0.16	0.129824545	0.233233833	SQD1	SOL	UDP-sulfoquinovose synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SQD1 PE=1 SV=1	False
O48946	-0.22	0.191086857	0.249370898	CESA1	MEM	Cellulose synthase A catalytic subunit 1 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA1 PE=1 SV=1	False
O48962	1.18	0.000447694	0.006980396	At1g20050	MEM	Probable 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Arabidopsis thaliana OX=3702 GN=At1g20050 PE=2 SV=1	True
O48963	-0.48	0.039895741	0.11917522	PHOT1	SOL	Phototropin-1 OS=Arabidopsis thaliana OX=3702 GN=PHOT1 PE=1 SV=1	False
O49006	0.97	0.044406121	0.078408909	PME3	MEM	Pectinesterase/pectinesterase inhibitor 3 OS=Arabidopsis thaliana OX=3702 GN=PME3 PE=1 SV=2	False
O49160	-0.44	0.001913822	0.036402305	TIF3C1	SOL	Eukaryotic translation initiation factor 3 subunit C OS=Arabidopsis thaliana OX=3702 GN=TIF3C1 PE=1 SV=2	True
O49195	-1.62	2.95061e-06	0.002757313	VSP1	MEM	Vegetative storage protein 1 OS=Arabidopsis thaliana OX=3702 GN=VSP1 PE=1 SV=2	True
O49196	-1.15	0.000571329	0.024419573	APK2	SOL	Adenylyl-sulfate kinase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APK2 PE=1 SV=1	True
O49203	-0.41	0.013142447	0.035136006	NDPK3	MEM	Nucleoside diphosphate kinase III, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NDPK3 PE=1 SV=1	True
O49213	0.02	0.670878441	0.719999232	GER1	MEM	GDP-L-fucose synthase 1 OS=Arabidopsis thaliana OX=3702 GN=GER1 PE=1 SV=3	False
O49285	-0.55	0.002640792	0.014623206	ACR3	MEM	ACT domain-containing protein ACR3 OS=Arabidopsis thaliana OX=3702 GN=ACR3 PE=2 SV=1	True
O49290	0.34	0.099485027	0.146399739	At1g77060	MEM	Carboxyvinyl-carboxyphosphonate phosphorylmutase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g77060 PE=1 SV=2	False
O49292	1.18	0.04111736	0.074342882	PPD4	MEM	PsbP domain-containing protein 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPD4 PE=1 SV=2	False
O49299	-0.15	0.01571166	0.038801077	At1g23190	MEM	Probable phosphoglucomutase, cytoplasmic 1 OS=Arabidopsis thaliana OX=3702 GN=At1g23190 PE=2 SV=2	True
O49304	-0.3	0.00086864	0.009199559	At1g23130	MEM	At1g23130/T26J12_10 OS=Arabidopsis thaliana OX=3702 GN=At1g23130 PE=1 SV=1	True
O49313	-0.74	0.002304049	0.013698993	At2g33220	MEM	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-B OS=Arabidopsis thaliana OX=3702 GN=At2g33220 PE=2 SV=1	True
O49336	-0.27	0.090295464	0.185705832	At2g30710	SOL	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g30710 PE=1 SV=2	False
O49339	0.62	0.017093881	0.040783937	PTI12	MEM	PTI1-like tyrosine-protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PTI12 PE=1 SV=1	True
O49340	-0.36	0.117288949	0.167635527	CYP71A12	MEM	Cytochrome P450 71A12 OS=Arabidopsis thaliana OX=3702 GN=CYP71A12 PE=2 SV=1	False
O49373	-0.32	0.08393838	0.127749651	''cytochrome	MEM	Cytochrome P450, family 96, subfamily A, polypeptide 2 OS=Arabidopsis thaliana OX=3702 GN=''cytochrome P450 PE=1 SV=1	False
O49377	0.35	0.027161797	0.055586815	VAMP711	MEM	Vesicle-associated membrane protein 711 OS=Arabidopsis thaliana OX=3702 GN=VAMP711 PE=1 SV=2	False
O49447	1.02	0.003457259	0.016582151	AAC3	MEM	ADP,ATP carrier protein 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=AAC3 PE=1 SV=1	True
O49453	0.54	0.006463017	0.024005123	At4g28440	MEM	Uncharacterized protein At4g28440 OS=Arabidopsis thaliana OX=3702 GN=At4g28440 PE=1 SV=1	True
O49460	-0.31	0.016486478	0.039992377	PHB1	MEM	Prohibitin-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB1 PE=1 SV=1	True
O49472	-0.14	0.354906161	0.459461269	INDH	SOL	ATP binding protein-like OS=Arabidopsis thaliana OX=3702 GN=INDH PE=1 SV=1	False
O49485	0.3	0.19407046	0.252202039	PGDH1	MEM	D-3-phosphoglycerate dehydrogenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGDH1 PE=1 SV=1	False
O49499	0.43	0.08836925	0.132900211	CCOAOMT1	MEM	Caffeoyl-CoA O-methyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CCOAOMT1 PE=1 SV=1	False
O49506	0.08	0.380664066	0.484368951	GLO5	SOL	Peroxisomal (S)-2-hydroxy-acid oxidase GLO5 OS=Arabidopsis thaliana OX=3702 GN=GLO5 PE=1 SV=1	False
O49513	0.39	0.028082654	0.056696629	RABA1E	MEM	Ras-related protein RABA1e OS=Arabidopsis thaliana OX=3702 GN=RABA1E PE=2 SV=1	False
O49543	-0.01	0.284350216	0.347692967	NIFS1	MEM	Cysteine desulfurase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NIFS1 PE=1 SV=1	False
O49545	-0.55	0.030423553	0.059747692	BAM1	MEM	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1 OS=Arabidopsis thaliana OX=3702 GN=BAM1 PE=1 SV=1	False
O49553	-0.47	0.002081742	0.036651834	At4g21110	SOL	AT4g21110/F7J7_50 OS=Arabidopsis thaliana OX=3702 GN=At4g21110 PE=1 SV=1	True
O49562	-0.89	0.004500494	0.019434522	RP1	MEM	Pyruvate, phosphate dikinase regulatory protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RP1 PE=1 SV=1	True
O49597	-0.27	0.47337513	0.570209485	HMGB5	SOL	High mobility group B protein 5 OS=Arabidopsis thaliana OX=3702 GN=HMGB5 PE=2 SV=1	False
O49607	-0.08	0.095130514	0.191949469	SBT1.6	SOL	Subtilisin-like protease SBT1.6 OS=Arabidopsis thaliana OX=3702 GN=SBT1.6 PE=2 SV=1	False
O49613	0.8	0.014674765	0.037229567	HIPP25	MEM	Heavy metal-associated isoprenylated plant protein 25 OS=Arabidopsis thaliana OX=3702 GN=HIPP25 PE=2 SV=1	True
O49621	-0.15	0.227568469	0.288354757	MLO1	MEM	MLO-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=MLO1 PE=1 SV=1	False
O49627	-0.51	0.018064792	0.042179928	ISU1	MEM	Iron-sulfur cluster assembly protein 1 OS=Arabidopsis thaliana OX=3702 GN=ISU1 PE=1 SV=1	True
O49629	-0.34	0.038801536	0.071487446	PAP2	MEM	Probable plastid-lipid-associated protein 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP2 PE=1 SV=1	False
O49653	0.87	0.016963222	0.079279059	GCP2	SOL	Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Arabidopsis thaliana OX=3702 GN=GCP2 PE=1 SV=1	False
O49675	-0.42	0.01867342	0.043009142	CCD4	MEM	Probable carotenoid cleavage dioxygenase 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CCD4 PE=1 SV=1	True
O49686	-0.11	0.174148734	0.278574182	PYR1	SOL	Abscisic acid receptor PYR1 OS=Arabidopsis thaliana OX=3702 GN=PYR1 PE=1 SV=1	False
O49841	0.63	0.030015474	0.059334993	RABC2A	MEM	Ras-related protein RABC2a OS=Arabidopsis thaliana OX=3702 GN=RABC2A PE=1 SV=1	False
O50008	0.5	0.005667331	0.022306864	MS1	MEM	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=MS1 PE=1 SV=1	True
O50039	0.35	0.060746753	0.099125474	OTC	MEM	Ornithine transcarbamylase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OTC PE=1 SV=2	False
O50061	-0.07	0.228632257	0.336029727	RPL4	SOL	50S ribosomal protein L4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPL4 PE=2 SV=2	False
O64477	-0.54	0.027550058	0.056120712	At2g19130	MEM	G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130 OS=Arabidopsis thaliana OX=3702 GN=At2g19130 PE=2 SV=1	False
O64490	0.43	0.008629153	0.02806397	EIF2	MEM	Protein-synthesizing GTPase OS=Arabidopsis thaliana OX=3702 GN=EIF2 GAMMA PE=1 SV=1	True
O64495	-0.11	0.261635556	0.37067947	SBT1.2	SOL	Subtilisin-like protease SBT1.2 OS=Arabidopsis thaliana OX=3702 GN=SBT1.2 PE=2 SV=1	False
O64517	0.25	0.030266089	0.059551718	AMC4	MEM	Metacaspase-4 OS=Arabidopsis thaliana OX=3702 GN=AMC4 PE=1 SV=1	False
O64530	0.2	0.030320935	0.104217153	STR1	SOL	Thiosulfate/3-mercaptopyruvate sulfurtransferase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=STR1 PE=1 SV=1	False
O64587	0.37	0.005899051	0.022755958	ACD11	MEM	Accelerated cell death 11 OS=Arabidopsis thaliana OX=3702 GN=ACD11 PE=1 SV=1	True
O64636	-0.6	0.018756298	0.043096576	CYP76C1	MEM	Cytochrome P450 76C1 OS=Arabidopsis thaliana OX=3702 GN=CYP76C1 PE=2 SV=1	True
O64640	-0.76	0.007472619	0.026018377	CXE8	MEM	Probable carboxylesterase 8 OS=Arabidopsis thaliana OX=3702 GN=CXE8 PE=2 SV=1	True
O64642	-0.18	0.266020187	0.328460965	URT1	MEM	UTP:RNA uridylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=URT1 PE=1 SV=2	False
O64644	-0.74	0.013971488	0.036338382	At2g45640	MEM	Histone deacetylase complex subunit SAP18 OS=Arabidopsis thaliana OX=3702 GN=At2g45640 PE=1 SV=1	True
O64688	-0.04	0.486895296	0.582815552	E1-BETA-2	SOL	Pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=E1-BETA-2 PE=1 SV=1	False
O64691	-0.3	0.027319002	0.055760046	CCP1	MEM	AT2G34560 protein OS=Arabidopsis thaliana OX=3702 GN=CCP1 PE=1 SV=2	False
O64696	-0.52	0.021649837	0.047509383	At2g34510	MEM	Uncharacterized protein At2g34510 OS=Arabidopsis thaliana OX=3702 GN=At2g34510 PE=1 SV=1	True
O64730	-0.69	0.000189194	0.004850727	At2g30170	MEM	Probable protein phosphatase 2C 26 OS=Arabidopsis thaliana OX=3702 GN=At2g30170 PE=2 SV=2	True
O64732	-0.4	0.003612197	0.042058061	UGT87A1	SOL	UDP-glycosyltransferase 87A1 OS=Arabidopsis thaliana OX=3702 GN=UGT87A1 PE=2 SV=1	True
O64740	0.27	0.0463073	0.080950666	SEC13B	MEM	Protein transport protein SEC13 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC13B PE=1 SV=1	False
O64743	1.09	0.004603072	0.045351432	MEE23	SOL	Berberine bridge enzyme-like 15 OS=Arabidopsis thaliana OX=3702 GN=MEE23 PE=1 SV=1	True
O64745	-1.15	0.005725148	0.048565728	At2g34810	SOL	Berberine bridge enzyme-like 16 OS=Arabidopsis thaliana OX=3702 GN=At2g34810 PE=2 SV=1	True
O64760	-0.33	0.071741323	0.162516329	At2g34970	SOL	eIF-2B GDP-GTP exchange factor subunit epsilon OS=Arabidopsis thaliana OX=3702 GN=At2g34970 PE=1 SV=1	False
O64764	1.35	0.001091035	0.00976055	At2g35010	MEM	Thioredoxin O1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g35010 PE=1 SV=1	True
O64767	0.06	0.472198162	0.532218013	At2g35040	MEM	AICAR transformylase OS=Arabidopsis thaliana OX=3702 GN=At2g35040 PE=1 SV=1	False
O64768	0.32	0.009961791	0.030273028	At2g35050	MEM	Kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At2g35050 PE=1 SV=1	True
O64816	0.38	0.052928057	0.137453283	CKA4	SOL	Casein kinase II subunit alpha-4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CKA4 PE=2 SV=1	False
O64825	0.12	0.3992283	0.462743402	LYK4	MEM	LysM domain receptor-like kinase 4 OS=Arabidopsis thaliana OX=3702 GN=LYK4 PE=1 SV=1	False
O64835	-1.32	0.005774827	0.022526555	YCF37	MEM	At2g23670/F26B6.32 OS=Arabidopsis thaliana OX=3702 GN=YCF37 PE=1 SV=1	True
O64858	-0.1	0.241143204	0.349373202	At2g44230	SOL	At2g44230/F4I1.4 OS=Arabidopsis thaliana OX=3702 GN=At2g44230 PE=1 SV=1	False
O64864	0.14	0.151994042	0.206533211	LTPG13	MEM	Non-specific lipid transfer protein GPI-anchored 13 OS=Arabidopsis thaliana OX=3702 GN=LTPG13 PE=2 SV=1	False
O64866	-0.21	0.244009592	0.305233698	At2g44310	MEM	Calcium-binding EF-hand family protein OS=Arabidopsis thaliana OX=3702 GN=At2g44310 PE=1 SV=1	False
O64883	-0.64	0.008165783	0.027208541	BGLU26	MEM	Beta-glucosidase 26, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=BGLU26 PE=1 SV=1	True
O64888	-0.31	0.06836502	0.108878468	PRS5	MEM	Ribose-phosphate pyrophosphokinase 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PRS5 PE=2 SV=2	False
O64903	0.4	0.0253473	0.094672872	NDPK2	SOL	Nucleoside diphosphate kinase II, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=NDPK2 PE=1 SV=2	False
O64948	0.1	0.253161148	0.315112048	LON2	MEM	Lon protease homolog 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=LON2 PE=2 SV=1	False
O65041	-0.5	0.005144909	0.02096467	ECR1	MEM	NEDD8-activating enzyme E1 catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=ECR1 PE=1 SV=2	True
O65155	-0.19	0.080815466	0.17331594	KELP	SOL	RNA polymerase II transcriptional coactivator KELP OS=Arabidopsis thaliana OX=3702 GN=KELP PE=1 SV=1	False
O65202	0.18	0.056564862	0.142052547	ACX1	SOL	Peroxisomal acyl-coenzyme A oxidase 1 OS=Arabidopsis thaliana OX=3702 GN=ACX1 PE=1 SV=1	False
O65238	-0.05	0.738866666	0.777968199	At5g35370	MEM	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370 OS=Arabidopsis thaliana OX=3702 GN=At5g35370 PE=2 SV=2	False
O65258	-0.78	0.008662848	0.057819422	BAM2	SOL	Beta-amylase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAM2 PE=1 SV=2	False
O65271	-0.28	0.022085197	0.047919154	FOLD4	MEM	Bifunctional protein FolD 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FOLD4 PE=1 SV=1	True
O65272	1.07	0.012310956	0.03371816	KEA2	MEM	K(+) efflux antiporter 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KEA2 PE=1 SV=2	True
O65282	0.83	0.08761527	0.132174984	CPN20	MEM	20 kDa chaperonin, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPN20 PE=1 SV=2	False
O65351	1.0	0.014062803	0.073026339	SBT1.7	SOL	Subtilisin-like protease SBT1.7 OS=Arabidopsis thaliana OX=3702 GN=SBT1.7 PE=1 SV=1	False
O65370	1.53	0.000808822	0.025005634	At1g12080	SOL	At1g12080 OS=Arabidopsis thaliana OX=3702 GN=At1g12080 PE=1 SV=1	True
O65398	0.27	0.00137725	0.03201959	GLX1	SOL	Lactoylglutathione lyase GLX1 OS=Arabidopsis thaliana OX=3702 GN=GLX1 PE=1 SV=1	True
O65399	0.35	0.175489062	0.279601033	At1g11820	SOL	Glucan endo-1,3-beta-glucosidase 1 OS=Arabidopsis thaliana OX=3702 GN=At1g11820 PE=2 SV=3	False
O65402	-0.73	0.007205458	0.025502814	SQE6	MEM	Squalene epoxidase 6 OS=Arabidopsis thaliana OX=3702 GN=SQE6 PE=2 SV=1	True
O65423	0.23	0.003605345	0.042058061	F18E5.200	SOL	AT4g21580/F18E5_200 OS=Arabidopsis thaliana OX=3702 GN=F18E5.200 PE=1 SV=1	True
O65449	0.24	0.052127925	0.136107733	sks4	SOL	At4g22010 OS=Arabidopsis thaliana OX=3702 GN=sks4 PE=1 SV=1	False
O65502	0.29	0.232462562	0.293435831	HCF244	MEM	Protein HIGH CHLOROPHYLL FLUORESCENCE PHENOTYPE 244, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HCF244 PE=1 SV=1	False
O65569	1.38	0.008752191	0.028283932	RPS11B	MEM	40S ribosomal protein S11-2 OS=Arabidopsis thaliana OX=3702 GN=RPS11B PE=2 SV=2	True
O65570	0.49	0.001435359	0.010970824	VLN4	MEM	Villin-4 OS=Arabidopsis thaliana OX=3702 GN=VLN4 PE=1 SV=1	True
O65572	-0.35	0.00533559	0.021474075	CCD1	MEM	Carotenoid 9,10(9',10')-cleavage dioxygenase 1 OS=Arabidopsis thaliana OX=3702 GN=CCD1 PE=1 SV=2	True
O65581	-0.77	0.001429021	0.032276056	FBA5	SOL	Fructose-bisphosphate aldolase 5, cytosolic OS=Arabidopsis thaliana OX=3702 GN=FBA5 PE=1 SV=1	True
O65639	-0.12	0.100374905	0.198163103	CSP1	SOL	Cold shock protein 1 OS=Arabidopsis thaliana OX=3702 GN=CSP1 PE=1 SV=1	False
O65655	0.63	0.010611844	0.0310054	At4g39680	MEM	SAP domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At4g39680 PE=1 SV=1	True
O65660	-0.73	0.01646479	0.039970558	PLAT1	MEM	PLAT domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=PLAT1 PE=1 SV=1	True
O65679	-0.06	0.556317865	0.64043347	PLR3	SOL	Probable pinoresinol-lariciresinol reductase 3 OS=Arabidopsis thaliana OX=3702 GN=PLR3 PE=3 SV=2	False
O65693	0.09	0.89440205	0.91914004	At4g34730	SOL	Probable ribosome-binding factor A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g34730 PE=2 SV=2	False
O65719	0.35	0.005417878	0.021645891	HSP70-3	MEM	Heat shock 70 kDa protein 3 OS=Arabidopsis thaliana OX=3702 GN=HSP70-3 PE=1 SV=1	True
O65782	-0.85	0.000154932	0.00454454	CYP83B1	MEM	Cytochrome P450 83B1 OS=Arabidopsis thaliana OX=3702 GN=CYP83B1 PE=1 SV=1	True
O65784	-0.37	0.041209042	0.074461525	CYP71B5	MEM	Cytochrome P450 71B5 OS=Arabidopsis thaliana OX=3702 GN=CYP71B5 PE=2 SV=1	False
O65785	0.11	0.856098069	0.879182159	CYP71B3	MEM	Cytochrome P450 71B3 OS=Arabidopsis thaliana OX=3702 GN=CYP71B3 PE=2 SV=2	False
