TAIR	log2fc	pvalue	fdr	significant
AT1G13160	0.009595689432245324	0.954315637601087	0.982818996038638	False
AT1G13170	-0.26969884110624576	0.1331039767050013	0.3915209411130771	False
AT1G13180	0.3109597261543469	0.07834340012575151	0.2914825384842188	False
AT1G13190	0.1543426691062168	0.30340778677977953	0.6008151941304682	False
AT1G13195	0.20954598410947178	0.18228641414494084	0.4627804720639755	False
AT1G13200	2.0486220071747963	0.1935705939274468		False
AT1G13210	0.2923715751437484	0.2415246880136801	0.5344017169526412	False
AT1G13220	-0.26079131141413386	0.0764840852283425	0.2877272624173095	False
AT1G13230	0.7584158778608459	0.6107007975316469		False
AT1G13245	0.16776340087038707	0.5504434469147214	0.7871406249380217	False
AT1G13250	-0.2004744821658442	0.38742370201507914	0.6741974823450162	False
AT1G13260	0.27737618778062095	0.275238293478661	0.5717591659536835	False
AT1G13270	0.1394075471864229	0.3082079306611115	0.6062206880433567	False
AT1G13280	-0.058491679510807276	0.8225046487657327	0.9267648143651243	False
AT1G13300	1.379111417380946	0.04013868707050721	0.19771594049425817	False
AT1G13320	-0.05949522947874827	0.44446088076469414	0.7178120643168049	False
AT1G13330	-0.2967142759668847	0.43720815314563743	0.7117384853457538	False
AT1G13340	0.9881485137507707			False
AT1G13350	0.16069822820904353	0.1348066347024305	0.3937937764401051	False
AT1G13360	-0.3430945273553577	0.10909498767635642	0.35178719119732815	False
AT1G13380	0.022977398177764157	0.8801226600923597	0.9532766410731948	False
AT1G13390	-0.1132257305806044	0.3154265246213005	0.6116561252724044	False
AT1G13400	1.2802916949436203	0.22493354510579855		False
AT1G13410	0.40061725272426074	0.13862170859263934	0.40006988254788245	False
AT1G13430	-0.7348946771289571	0.032126252954479476	0.1732737477938364	False
AT1G13440	-0.09169354314612853	0.5556704927190839	0.7912479441725525	False
AT1G13448	0.5408155523711999	0.3264005479444303	0.6224899426651648	False
AT1G13450	0.29017743196552237	0.04042103833774845	0.19850992779593107	False
AT1G13460	-0.30287965430259417	0.022741350433537484	0.13945744020350695	False
AT1G13520	3.146762398159468			False
AT1G13530	2.5982161311357244	0.014286015407423094	0.10404523892791846	False
AT1G13540	1.692892962665084	0.33264874348319584		False
AT1G13550	2.5112412006751734	0.08451096880195859		False
AT1G13560	-0.16886213121417346	0.12167149199782247	0.37340028312814344	False
AT1G13570	0.17700363844604822	0.21083595058728977	0.4997430081073684	False
AT1G13580	0.03770239040957848	0.8449672892175119	0.9366972570357951	False
AT1G13590	-1.760211892397008	0.3578437988394102		False
AT1G13600	1.0282829379053373	0.15540473357770024	0.42629232041673815	False
AT1G13608	-0.6123172586974734	0.7074599171735655		False
AT1G13610	-0.5393055608944926	0.5002490710636275		False
AT1G13630	0.26813546756836815	0.2371133066561315	0.5293480698852097	False
AT1G13635	-0.35716772831800264	0.7758656568992164		False
AT1G13640	0.3703836329010009	0.005852146427975532	0.05893315774915432	False
AT1G13650	-0.1519713506398165	0.5799638619913854	0.8044798416203871	False
AT1G13670	0.4263312463502658	0.18275728555901483	0.46348878522676656	False
AT1G13690	-0.04266044474301944	0.7234896168287945	0.8794607720886642	False
AT1G13700	1.5327851670385062	5.6161891381619854e-08	9.437639573476553e-06	True
AT1G13710	0.0042130844848123905	0.9769761438641862	0.99048427043212	False
AT1G13730	-0.30935546345072285	0.07320598060985324	0.28064879090489786	False
AT1G13740	-0.32582278635960155	0.1526164437529822	0.4220126210054835	False
AT1G13750	-0.07925652980783068	0.8665223520232923	0.9477814542777498	False
AT1G13770	0.09940371096566288	0.45432403892530104	0.724764906534012	False
AT1G13780	0.3430238163217914	0.010608250903955868	0.0867193099487932	False
AT1G13790	0.5269845652408712	0.08813861546147572	0.3124434467572518	False
AT1G13800	0.2296141389497196	0.5168021925526294	0.7650513708083164	False
AT1G13810	-0.5075054207279828	0.0017183326271058201	0.025206736828649098	True
AT1G13820	-0.1976325853200059	0.16895771792522551	0.44532295402413846	False
AT1G13830	2.764742653620257	0.15500341001234166		False
AT1G13860	-0.24389726953102808	0.18222252704094133	0.46273986006126033	False
AT1G13870	0.20433726030271093	0.1926356191647084	0.4762999837892721	False
AT1G13880	0.2783813437013245	0.017144793467788477	0.11749986013176238	False
AT1G13890	0.42134511392410784	0.774478232696506		False
AT1G13900	-0.06435904661331932	0.646044815594266	0.838014084145478	False
AT1G13910	-0.21834288813812258	0.267682706922975	0.5635655639270609	False
AT1G13920	-0.10554714832012767	0.8423015444799882	0.9358359634464237	False
AT1G13930	-0.5813693306876625	1.6787759921170143e-05	0.000836142939372714	True
AT1G13940	0.02647918461442002	0.8235489456162061	0.9271688977182371	False
AT1G13950	-0.10246081848736716	0.6992709503837593	0.8676904530734654	False
AT1G13960	0.11336568889881406	0.501815117566583	0.7554395222383904	False
AT1G13970	-0.006837275780559028	0.9891635845190629	0.996346978931108	False
AT1G13980	0.058670875912564875	0.579589550879575	0.8044215357485299	False
